"(in Mio. €)","Sonstige 
Vermögens-
gegenstände","Sonstige 
Rückstellungen"
"Zinsswaps","–","-334"
"Kombinierte Zins-Währungssicherungskontrakte","–","–"
"Bilanzierungspflichtige derivative Finanzinstrumente","–","-334"
