"1. Okt. 2023 
 
 
(in Mio. €)","","Aktien- 
rückkäufe","Ausgabe  
eigener Aktien  
im Rahmen von 
aktienbasierten 
Vergütungen und 
Mitarbeiter-
aktienprogrammen","Dividende 
für 2023","Jahres- 
überschuss","30. Sep. 2024"
"Gezeichnetes Kapital 
2.400","","–","–","–","–","2.400"
"Eigene Aktien 
-30","","-30","15","–","–","-45"
"Ausgegebenes Kapital 
2.370","","-30","15","–","–","2.355"
"Kapitalrücklage 
8.737","","–","166","–","–","8.903"
"Andere Gewinnrücklagen 
6.555","","-1.572","599","–","1.409","6.991"
"Bilanzgewinn 
3.760","","–","–","-3.709","4.109","4.160"
"21.422 
Eigenkapital","","-1.602","780","-3.709","5.518","22.409"
