"(in Mio. €)","Nominal- 
volumen","Marktwerte"
"Zinsswaps","5.936","-334"
"Kombinierte Zins-Währungssicherungskontrakte","408","15"
"Bestehende derivative Finanzinstrumente","6.344","-318"
