"(in Stück)","2024"
"Bestand zu Beginn des Geschäftsjahres","10.079.918"
"Aktienrückkauf","10.015.957"
"Ausgabe im Rahmen von aktienbasierten Vergütungen und Mitarbeiteraktienprogrammen","-4.965.039"
"Bestand am Ende des Geschäftsjahres","15.130.836"
