"",""
"Fabrik- und Geschäftsbauten","20 bis 50 Jahre"
"Übrige Bauten","5 bis 10 Jahre"
"Technische Anlagen und Maschinen","überwiegend 10 Jahre"
"Andere Anlagen, Betriebs- und Geschäftsausstattung","3 bis 8 Jahre"
"Vermietete Erzeugnisse","überwiegend 3 bis 5 Jahre"
