"27 
Gewinnverwendung",""
"Jahresüberschuss","4.460 
5.518"
"Gewinnvortrag aus dem Vorjahr","250 
51"
"Einstellung in andere Gewinnrücklagen","-950 
-1.409"
"Bilanzgewinn","3.760 
4.160"
