"(in Stück)","2024"
"Bestand zu Beginn des Geschäftsjahres (nicht erdient)","4.740.136"
"Gewährt","1.272.732"
"Erdient und übertragen","-1.200.812"
"Verfallen","-71.302"
"Abgegolten","-4.601"
"Gesellschaftsveränderungen","820"
"Bestand am Ende des Geschäftsjahres (nicht erdient)","4.736.973"
