"Anteile an verbundenen Unternehmen","64.065","6.082","11","-12.764","57.395","-1.886","-334","154","–","387","-1.679","55.715","62.180"
"Ausleihungen an verbundene Unternehmen","4.383","481","–","-711","4.153","–","–","–","–","–","–","4.153","4.383"
"Beteiligungen","6.222","–","-11","-4.203","2.007","-3.492","–","959","–","2.475","-58","1.950","2.730"
"Wertpapiere des Anlagevermögens","1.727","6.335","–","-83","7.978","-154","–","135","–","–","-19","7.959","1.572"
"Sonstige Ausleihungen","438","50","–","-83","405","–","–","–","–","–","–","405","438"
"","76.835","12.949","–","-17.846","71.938","-5.532","-334","1.248","–","2.862","-1.756","70.182","71.303"
