"(in Mio. €)","2024"
"Verpflichtungen aus Bürgschaften","2.961"
"Gewährleistungsverpflichtungen","95.045"
"davon im Rahmen der Finanzierung verbundener Unternehmen","65.922"
"davon im Liefer- und Leistungsgeschäft verbundener Unternehmen","22.573"
"davon Sonstiges","6.550"
"Haftungsverhältnisse","98.006"
