"(in Mio. €) 
Ziffer",2024,2023
Immaterielle Vermögensgegenstände,272.0,285.0
Sachanlagen,1.063,1.022
Finanzanlagen,70.182,71.303
Summe Anlagevermögen,343.245,357.325
