(in Mio. €)","1. Okt. 2023,"Aktienrückkäufe","Ausgabe eigener Aktien im Rahmen von aktienbasierten Vergütungen und Mitarbeiter-aktienprogrammen","Dividende für 2023","Jahres- überschuss","30. Sep. 2024"
Eigenkapital","","-1.602","780","-3.709","5.518","22.409"
